# Region type : patch IVC
# Faces  :    476
# Area   :    1.426297e-04
# Time        	areaAverage(total(p))
0             	0.000000e+00
0.05          	1.916864e-01
0.1           	1.566183e-01
0.15          	1.451966e-01
0.2           	1.416416e-01
0.25          	1.398993e-01
0.3           	1.402928e-01
0.35          	1.430171e-01
0.4           	1.478612e-01
0.45          	1.492612e-01
0.5           	1.524332e-01
0.55          	1.579195e-01
0.6           	1.626803e-01
0.65          	1.729533e-01
0.7           	1.754381e-01
0.75          	1.746991e-01
0.8           	1.788348e-01
0.85          	1.895734e-01
0.9           	1.987121e-01
0.95          	2.025340e-01
1             	2.011573e-01
1.05          	2.099116e-01
1.1           	2.214043e-01
1.15          	2.224928e-01
1.2           	2.324695e-01
1.25          	2.171837e-01
1.3           	2.270236e-01
1.35          	2.254225e-01
1.4           	2.241592e-01
1.45          	1.944269e-01
1.5           	1.883928e-01
1.55          	1.839641e-01
1.6           	1.889050e-01
1.65          	2.034140e-01
1.7           	2.192312e-01
1.75          	2.071897e-01
1.8           	2.135657e-01
1.85          	1.955256e-01
1.9           	1.951394e-01
1.95          	1.808453e-01
2             	1.890235e-01
2.05          	2.201222e-01
2.1           	2.327041e-01
2.15          	2.497544e-01
2.2           	2.393906e-01
2.25          	1.934602e-01
2.3           	2.443234e-01
2.35          	2.096180e-01
2.4           	2.015945e-01
2.45          	2.390282e-01
2.5           	2.019079e-01
2.55          	2.300782e-01
2.6           	2.465964e-01
2.65          	2.131457e-01
2.7           	1.647279e-01
2.75          	2.007203e-01
2.8           	2.014625e-01
2.85          	2.204625e-01
2.9           	2.279045e-01
2.95          	1.927750e-01
3             	2.206957e-01
3.05          	2.003815e-01
3.1           	1.947666e-01
3.15          	2.030045e-01
3.2           	1.942552e-01
3.25          	1.917697e-01
3.3           	2.101139e-01
3.35          	1.978761e-01
3.4           	1.930354e-01
3.45          	1.937102e-01
3.5           	2.187661e-01
3.55          	2.312520e-01
3.6           	1.994461e-01
3.65          	2.000642e-01
3.7           	2.083541e-01
3.75          	2.592984e-01
3.8           	2.258382e-01
3.85          	1.868314e-01
3.9           	1.914109e-01
3.95          	1.939093e-01
4             	2.006420e-01
4.05          	2.134606e-01
4.1           	2.247984e-01
4.15          	2.044404e-01
4.2           	2.161129e-01
4.25          	2.231434e-01
4.3           	1.955014e-01
4.35          	2.040897e-01
4.4           	2.248224e-01
4.45          	1.864689e-01
4.5           	2.062390e-01
4.55          	2.195544e-01
4.6           	1.928809e-01
4.65          	2.222386e-01
4.7           	2.346784e-01
4.75          	2.125314e-01
4.8           	2.346306e-01
4.85          	2.269170e-01
4.9           	2.239614e-01
4.95          	2.262170e-01
5             	2.309034e-01
5.05          	2.111429e-01
5.1           	1.991252e-01
5.15          	2.455971e-01
5.2           	2.251855e-01
5.25          	1.798699e-01
5.3           	1.983610e-01
5.35          	1.950847e-01
5.4           	2.169411e-01
5.45          	2.505932e-01
5.5           	2.195021e-01
5.55          	2.418558e-01
5.6           	2.054528e-01
5.65          	2.251254e-01
5.7           	2.440768e-01
5.75          	2.173852e-01
5.8           	2.004999e-01
5.85          	1.892598e-01
5.9           	1.799107e-01
5.95          	2.226263e-01
6             	2.151013e-01
6.05          	1.894005e-01
6.1           	1.891597e-01
6.15          	1.982601e-01
6.2           	2.512791e-01
6.25          	2.293557e-01
6.3           	2.357550e-01
6.35          	2.602671e-01
6.4           	2.232203e-01
6.45          	2.015060e-01
6.5           	1.986552e-01
6.55          	1.923942e-01
6.6           	2.180339e-01
6.65          	2.042606e-01
6.7           	2.268184e-01
6.75          	2.442995e-01
6.8           	2.111171e-01
6.85          	2.132817e-01
6.9           	2.182735e-01
6.95          	2.001632e-01
7             	2.143886e-01
7.05          	2.451266e-01
7.1           	2.285169e-01
7.15          	2.275795e-01
7.2           	2.359088e-01
7.25          	2.007393e-01
7.3           	1.887808e-01
7.35          	2.369918e-01
7.4           	1.989123e-01
7.45          	1.829881e-01
7.5           	2.124250e-01
