# Region type : patch LPA
# Faces  :    472
# Area   :    1.426297e-04
# Time        	areaAverage(total(p))
0             	0.000000e+00
0.05          	6.447264e-02
0.1           	6.568064e-02
0.15          	6.659043e-02
0.2           	6.736266e-02
0.25          	6.804388e-02
0.3           	6.864395e-02
0.35          	6.916890e-02
0.4           	6.962604e-02
0.45          	7.002258e-02
0.5           	7.036625e-02
0.55          	7.066007e-02
0.6           	7.091648e-02
0.65          	7.113249e-02
0.7           	7.128403e-02
0.75          	7.137910e-02
0.8           	7.142152e-02
0.85          	7.140152e-02
0.9           	7.136985e-02
0.95          	7.134848e-02
1             	7.126034e-02
1.05          	7.119227e-02
1.1           	7.115866e-02
1.15          	7.111113e-02
1.2           	7.077138e-02
1.25          	7.071135e-02
1.3           	7.058384e-02
1.35          	7.021756e-02
1.4           	7.034234e-02
1.45          	7.021178e-02
1.5           	7.023297e-02
1.55          	7.013461e-02
1.6           	7.017722e-02
1.65          	7.011394e-02
1.7           	6.999465e-02
1.75          	7.058347e-02
1.8           	7.057621e-02
1.85          	7.075899e-02
1.9           	7.106285e-02
1.95          	7.100358e-02
2             	7.056039e-02
2.05          	7.025409e-02
2.1           	7.101454e-02
2.15          	7.165704e-02
2.2           	7.136949e-02
2.25          	7.122509e-02
2.3           	7.103360e-02
2.35          	7.086360e-02
2.4           	7.070962e-02
2.45          	7.048439e-02
2.5           	7.155159e-02
2.55          	7.117404e-02
2.6           	7.093580e-02
2.65          	7.109112e-02
2.7           	7.052678e-02
2.75          	7.056678e-02
2.8           	7.061746e-02
2.85          	7.070544e-02
2.9           	7.034133e-02
2.95          	7.065365e-02
3             	7.061126e-02
3.05          	7.068204e-02
3.1           	7.075153e-02
3.15          	7.031051e-02
3.2           	7.034315e-02
3.25          	7.035662e-02
3.3           	7.056717e-02
3.35          	7.064126e-02
3.4           	7.054393e-02
3.45          	7.096854e-02
3.5           	7.087760e-02
3.55          	7.075741e-02
3.6           	7.112451e-02
3.65          	7.118441e-02
3.7           	7.134319e-02
3.75          	7.098661e-02
3.8           	7.053519e-02
3.85          	7.074408e-02
3.9           	7.147439e-02
3.95          	7.092843e-02
4             	7.040334e-02
4.05          	7.024186e-02
4.1           	7.042483e-02
4.15          	7.095484e-02
4.2           	7.114886e-02
4.25          	7.095340e-02
4.3           	7.073629e-02
4.35          	7.082584e-02
4.4           	7.078951e-02
4.45          	7.107256e-02
4.5           	7.055239e-02
4.55          	7.054577e-02
4.6           	7.061443e-02
4.65          	7.033414e-02
4.7           	7.090667e-02
4.75          	7.101268e-02
4.8           	7.047445e-02
4.85          	7.088847e-02
4.9           	7.080545e-02
4.95          	7.094003e-02
5             	7.067678e-02
5.05          	7.061166e-02
5.1           	7.080681e-02
5.15          	7.109147e-02
5.2           	7.068298e-02
5.25          	7.075189e-02
5.3           	7.099903e-02
5.35          	7.062658e-02
5.4           	7.040420e-02
5.45          	7.044977e-02
5.5           	7.123205e-02
5.55          	7.097728e-02
5.6           	7.094140e-02
5.65          	7.109594e-02
5.7           	7.065994e-02
5.75          	7.111180e-02
5.8           	7.095080e-02
5.85          	7.033017e-02
5.9           	7.073282e-02
5.95          	7.102823e-02
6             	7.099606e-02
6.05          	7.098271e-02
6.1           	7.077475e-02
6.15          	7.079744e-02
6.2           	7.094363e-02
6.25          	7.106917e-02
6.3           	7.137149e-02
6.35          	7.067676e-02
6.4           	7.100907e-02
6.45          	7.069139e-02
6.5           	7.051599e-02
6.55          	7.041036e-02
6.6           	7.098667e-02
6.65          	7.130765e-02
6.7           	7.084900e-02
6.75          	7.072424e-02
6.8           	7.065982e-02
6.85          	7.081006e-02
6.9           	7.055767e-02
6.95          	7.061244e-02
7             	7.046950e-02
7.05          	7.028948e-02
7.1           	7.042933e-02
7.15          	7.073878e-02
7.2           	7.114764e-02
7.25          	7.096503e-02
7.3           	7.046835e-02
7.35          	7.084465e-02
7.4           	7.090698e-02
7.45          	7.048494e-02
7.5           	7.038738e-02
