# Region type : patch RPA
# Faces  :    472
# Area   :    1.426297e-04
# Time        	areaAverage(total(p))
0             	2.730910e-02
0.05          	9.113810e-02
0.1           	8.664280e-02
0.15          	8.506321e-02
0.2           	8.551339e-02
0.25          	8.687049e-02
0.3           	8.911003e-02
0.35          	9.104361e-02
0.4           	9.442345e-02
0.45          	9.371696e-02
0.5           	9.517237e-02
0.55          	9.958379e-02
0.6           	1.046840e-01
0.65          	1.093362e-01
0.7           	1.138252e-01
0.75          	1.157617e-01
0.8           	1.156605e-01
0.85          	1.203615e-01
0.9           	1.219919e-01
0.95          	1.225963e-01
1             	1.273867e-01
1.05          	1.283231e-01
1.1           	1.361279e-01
1.15          	1.219352e-01
1.2           	1.431880e-01
1.25          	1.207437e-01
1.3           	1.006163e-01
1.35          	9.873879e-02
1.4           	7.469259e-02
1.45          	6.222625e-02
1.5           	7.766611e-02
1.55          	7.683142e-02
1.6           	7.142145e-02
1.65          	8.751148e-02
1.7           	8.594142e-02
1.75          	8.329753e-02
1.8           	8.294673e-02
1.85          	8.218747e-02
1.9           	6.007340e-02
1.95          	6.333559e-02
2             	7.456463e-02
2.05          	9.853970e-02
2.1           	7.745363e-02
2.15          	1.008962e-01
2.2           	1.093102e-01
2.25          	7.712886e-02
2.3           	7.542697e-02
2.35          	6.777869e-02
2.4           	6.053093e-02
2.45          	1.170092e-01
2.5           	1.053649e-01
2.55          	8.535388e-02
2.6           	7.860408e-02
2.65          	7.898738e-02
2.7           	6.019143e-02
2.75          	7.976223e-02
2.8           	9.067741e-02
2.85          	8.047244e-02
2.9           	9.719094e-02
2.95          	6.857940e-02
3             	8.766150e-02
3.05          	7.676424e-02
3.1           	6.896435e-02
3.15          	8.589677e-02
3.2           	9.117591e-02
3.25          	5.844248e-02
3.3           	8.309922e-02
3.35          	6.221604e-02
3.4           	5.827699e-02
3.45          	8.113789e-02
3.5           	9.035163e-02
3.55          	1.257832e-01
3.6           	1.177681e-01
3.65          	1.069610e-01
3.7           	8.944343e-02
3.75          	8.751206e-02
3.8           	6.352951e-02
3.85          	7.500561e-02
3.9           	7.740465e-02
3.95          	1.033548e-01
4             	1.067763e-01
4.05          	9.340897e-02
4.1           	1.099193e-01
4.15          	9.407001e-02
4.2           	1.108516e-01
4.25          	1.196817e-01
4.3           	7.947404e-02
4.35          	6.785204e-02
4.4           	1.029042e-01
4.45          	6.396390e-02
4.5           	7.190949e-02
4.55          	8.944906e-02
4.6           	9.226616e-02
4.65          	1.252677e-01
4.7           	1.314096e-01
4.75          	1.104508e-01
4.8           	1.165410e-01
4.85          	1.005319e-01
4.9           	1.009966e-01
4.95          	6.913372e-02
5             	1.093298e-01
5.05          	8.431538e-02
5.1           	6.929376e-02
5.15          	8.746722e-02
5.2           	4.972408e-02
5.25          	6.339915e-02
5.3           	8.826078e-02
5.35          	8.657314e-02
5.4           	1.002835e-01
5.45          	1.149429e-01
5.5           	1.130560e-01
5.55          	1.273590e-01
5.6           	1.021975e-01
5.65          	9.508018e-02
5.7           	9.227651e-02
5.75          	6.871892e-02
5.8           	8.586635e-02
5.85          	9.534994e-02
5.9           	8.386168e-02
5.95          	9.786569e-02
6             	9.306651e-02
6.05          	7.952873e-02
6.1           	8.745735e-02
6.15          	9.171621e-02
6.2           	1.172558e-01
6.25          	1.227629e-01
6.3           	1.330913e-01
6.35          	1.172674e-01
6.4           	8.840600e-02
6.45          	8.729950e-02
6.5           	7.998920e-02
6.55          	7.430022e-02
6.6           	9.486536e-02
6.65          	8.736001e-02
6.7           	1.065284e-01
6.75          	1.260286e-01
6.8           	9.272077e-02
6.85          	8.351034e-02
6.9           	8.032136e-02
6.95          	9.351371e-02
7             	1.101612e-01
7.05          	1.426097e-01
7.1           	1.126832e-01
7.15          	7.067321e-02
7.2           	9.748978e-02
7.25          	7.876273e-02
7.3           	5.514665e-02
7.35          	1.021715e-01
7.4           	1.090943e-01
7.45          	9.529136e-02
7.5           	1.052576e-01
