# Region type : patch SVC
# Faces  :    652
# Area   :    1.426297e-04
# Time        	areaAverage(total(p))
0             	0.000000e+00
0.05          	1.803501e-01
0.1           	1.524785e-01
0.15          	1.438660e-01
0.2           	1.419674e-01
0.25          	1.440803e-01
0.3           	1.483892e-01
0.35          	1.541686e-01
0.4           	1.616948e-01
0.45          	1.649810e-01
0.5           	1.693871e-01
0.55          	1.756844e-01
0.6           	1.831198e-01
0.65          	1.923388e-01
0.7           	1.981972e-01
0.75          	2.037993e-01
0.8           	2.022425e-01
0.85          	2.084475e-01
0.9           	2.104917e-01
0.95          	2.144209e-01
1             	2.069885e-01
1.05          	2.209805e-01
1.1           	2.341176e-01
1.15          	2.258840e-01
1.2           	2.443270e-01
1.25          	2.243889e-01
1.3           	2.397472e-01
1.35          	2.073998e-01
1.4           	1.999198e-01
1.45          	1.478343e-01
1.5           	1.499796e-01
1.55          	1.653048e-01
1.6           	1.603045e-01
1.65          	1.806008e-01
1.7           	1.900579e-01
1.75          	1.790692e-01
1.8           	1.817690e-01
1.85          	1.741234e-01
1.9           	1.537553e-01
1.95          	1.262020e-01
2             	1.444780e-01
2.05          	1.877240e-01
2.1           	2.116778e-01
2.15          	2.262467e-01
2.2           	2.311084e-01
2.25          	1.957561e-01
2.3           	2.190117e-01
2.35          	1.628913e-01
2.4           	1.600867e-01
2.45          	2.125397e-01
2.5           	2.206404e-01
2.55          	2.424596e-01
2.6           	2.263439e-01
2.65          	1.751468e-01
2.7           	1.330399e-01
2.75          	1.644306e-01
2.8           	1.760816e-01
2.85          	2.134860e-01
2.9           	2.005620e-01
2.95          	1.708799e-01
3             	1.858339e-01
3.05          	1.769360e-01
3.1           	1.739520e-01
3.15          	1.797562e-01
3.2           	1.721718e-01
3.25          	1.711755e-01
3.3           	1.662066e-01
3.35          	1.626872e-01
3.4           	1.458811e-01
3.45          	1.673571e-01
3.5           	2.002281e-01
3.55          	2.433153e-01
3.6           	1.927531e-01
3.65          	2.035417e-01
3.7           	1.938618e-01
3.75          	2.434737e-01
3.8           	1.723677e-01
3.85          	1.496275e-01
3.9           	1.540038e-01
3.95          	1.755367e-01
4             	1.891020e-01
4.05          	2.042046e-01
4.1           	2.205231e-01
4.15          	1.914799e-01
4.2           	2.049249e-01
4.25          	2.184671e-01
4.3           	2.023405e-01
4.35          	1.808124e-01
4.4           	1.898647e-01
4.45          	1.732137e-01
4.5           	1.684359e-01
4.55          	1.837611e-01
4.6           	1.829382e-01
4.65          	2.143472e-01
4.7           	2.542238e-01
4.75          	2.068834e-01
4.8           	2.518766e-01
4.85          	2.200762e-01
4.9           	2.260261e-01
4.95          	2.060651e-01
5             	2.000078e-01
5.05          	2.000450e-01
5.1           	1.844566e-01
5.15          	2.195422e-01
5.2           	1.729732e-01
5.25          	1.442696e-01
5.3           	1.664617e-01
5.35          	1.677413e-01
5.4           	2.020575e-01
5.45          	2.424314e-01
5.5           	2.058056e-01
5.55          	2.347230e-01
5.6           	2.110552e-01
5.65          	2.173223e-01
5.7           	2.252022e-01
5.75          	1.835155e-01
5.8           	1.666538e-01
5.85          	1.628121e-01
5.9           	1.633317e-01
5.95          	2.143456e-01
6             	2.057493e-01
6.05          	1.668550e-01
6.1           	1.579125e-01
6.15          	1.763455e-01
6.2           	2.513090e-01
6.25          	2.117548e-01
6.3           	2.435610e-01
6.35          	2.923753e-01
6.4           	2.117204e-01
6.45          	1.721457e-01
6.5           	1.883198e-01
6.55          	1.669544e-01
6.6           	1.880255e-01
6.65          	1.832639e-01
6.7           	2.126141e-01
6.75          	2.494675e-01
6.8           	2.101528e-01
6.85          	1.821593e-01
6.9           	1.807163e-01
6.95          	1.724582e-01
7             	1.910413e-01
7.05          	2.504465e-01
7.1           	2.493175e-01
7.15          	2.253465e-01
7.2           	1.928190e-01
7.25          	1.829531e-01
7.3           	1.731063e-01
7.35          	2.018784e-01
7.4           	1.969489e-01
7.45          	1.778925e-01
7.5           	2.060632e-01
