# Region type : patch LPA
# Faces  :    472
# Area   :    1.426297e-04
# Time        	sum(phi)
0             
0.05          	5.025325e-05
0.1           	5.025325e-05
0.15          	5.025324e-05
0.2           	5.025325e-05
0.25          	5.025325e-05
0.3           	5.025325e-05
0.35          	5.025325e-05
0.4           	5.025325e-05
0.45          	5.025324e-05
0.5           	5.025324e-05
0.55          	5.025324e-05
0.6           	5.025325e-05
0.65          	5.025324e-05
0.7           	5.025325e-05
0.75          	5.025324e-05
0.8           	5.025324e-05
0.85          	5.025325e-05
0.9           	5.025324e-05
0.95          	5.025326e-05
1             	5.025324e-05
1.05          	5.025324e-05
1.1           	5.025324e-05
1.15          	5.025325e-05
1.2           	5.025325e-05
1.25          	5.025324e-05
1.3           	5.025325e-05
1.35          	5.025324e-05
1.4           	5.025325e-05
1.45          	5.025325e-05
1.5           	5.025325e-05
1.55          	5.025326e-05
1.6           	5.025325e-05
1.65          	5.025325e-05
1.7           	5.025325e-05
1.75          	5.025325e-05
1.8           	5.025324e-05
1.85          	5.025325e-05
1.9           	5.025324e-05
1.95          	5.025325e-05
2             	5.025325e-05
2.05          	5.025324e-05
2.1           	5.025325e-05
2.15          	5.025324e-05
2.2           	5.025324e-05
2.25          	5.025325e-05
2.3           	5.025325e-05
2.35          	5.025324e-05
2.4           	5.025325e-05
2.45          	5.025324e-05
2.5           	5.025324e-05
2.55          	5.025325e-05
2.6           	5.025325e-05
2.65          	5.025325e-05
2.7           	5.025325e-05
2.75          	5.025324e-05
2.8           	5.025324e-05
2.85          	5.025325e-05
2.9           	5.025324e-05
2.95          	5.025323e-05
3             	5.025324e-05
3.05          	5.025325e-05
3.1           	5.025324e-05
3.15          	5.025325e-05
3.2           	5.025325e-05
3.25          	5.025324e-05
3.3           	5.025325e-05
3.35          	5.025325e-05
3.4           	5.025324e-05
3.45          	5.025325e-05
3.5           	5.025324e-05
3.55          	5.025324e-05
3.6           	5.025324e-05
3.65          	5.025324e-05
3.7           	5.025325e-05
3.75          	5.025325e-05
3.8           	5.025324e-05
3.85          	5.025325e-05
3.9           	5.025326e-05
3.95          	5.025325e-05
4             	5.025324e-05
4.05          	5.025325e-05
4.1           	5.025324e-05
4.15          	5.025324e-05
4.2           	5.025325e-05
4.25          	5.025324e-05
4.3           	5.025325e-05
4.35          	5.025324e-05
4.4           	5.025324e-05
4.45          	5.025325e-05
4.5           	5.025324e-05
4.55          	5.025324e-05
4.6           	5.025325e-05
4.65          	5.025325e-05
4.7           	5.025325e-05
4.75          	5.025324e-05
4.8           	5.025325e-05
4.85          	5.025325e-05
4.9           	5.025325e-05
4.95          	5.025325e-05
5             	5.025325e-05
5.05          	5.025325e-05
5.1           	5.025324e-05
5.15          	5.025325e-05
5.2           	5.025324e-05
5.25          	5.025324e-05
5.3           	5.025323e-05
5.35          	5.025325e-05
5.4           	5.025325e-05
5.45          	5.025325e-05
5.5           	5.025326e-05
5.55          	5.025324e-05
5.6           	5.025325e-05
5.65          	5.025325e-05
5.7           	5.025325e-05
5.75          	5.025324e-05
5.8           	5.025325e-05
5.85          	5.025325e-05
5.9           	5.025324e-05
5.95          	5.025324e-05
6             	5.025325e-05
6.05          	5.025324e-05
6.1           	5.025323e-05
6.15          	5.025324e-05
6.2           	5.025324e-05
6.25          	5.025324e-05
6.3           	5.025324e-05
6.35          	5.025325e-05
6.4           	5.025325e-05
6.45          	5.025324e-05
6.5           	5.025325e-05
6.55          	5.025325e-05
6.6           	5.025325e-05
6.65          	5.025325e-05
6.7           	5.025325e-05
6.75          	5.025325e-05
6.8           	5.025324e-05
6.85          	5.025325e-05
6.9           	5.025324e-05
6.95          	5.025325e-05
7             	5.025324e-05
7.05          	5.025325e-05
7.1           	5.025325e-05
7.15          	5.025324e-05
7.2           	5.025324e-05
7.25          	5.025324e-05
7.3           	5.025323e-05
7.35          	5.025324e-05
7.4           	5.025325e-05
7.45          	5.025325e-05
7.5           	5.025326e-05
