# Region type : patch SVC
# Faces  :    652
# Area   :    1.426297e-04
# Time        	sum(phi)
0             
0.05          	-3.341505e-05
0.1           	-3.341505e-05
0.15          	-3.341505e-05
0.2           	-3.341505e-05
0.25          	-3.341505e-05
0.3           	-3.341505e-05
0.35          	-3.341505e-05
0.4           	-3.341505e-05
0.45          	-3.341505e-05
0.5           	-3.341505e-05
0.55          	-3.341505e-05
0.6           	-3.341505e-05
0.65          	-3.341505e-05
0.7           	-3.341505e-05
0.75          	-3.341505e-05
0.8           	-3.341505e-05
0.85          	-3.341505e-05
0.9           	-3.341505e-05
0.95          	-3.341505e-05
1             	-3.341505e-05
1.05          	-3.341505e-05
1.1           	-3.341505e-05
1.15          	-3.341505e-05
1.2           	-3.341505e-05
1.25          	-3.341505e-05
1.3           	-3.341505e-05
1.35          	-3.341505e-05
1.4           	-3.341505e-05
1.45          	-3.341505e-05
1.5           	-3.341505e-05
1.55          	-3.341505e-05
1.6           	-3.341505e-05
1.65          	-3.341505e-05
1.7           	-3.341505e-05
1.75          	-3.341505e-05
1.8           	-3.341505e-05
1.85          	-3.341505e-05
1.9           	-3.341505e-05
1.95          	-3.341505e-05
2             	-3.341505e-05
2.05          	-3.341505e-05
2.1           	-3.341505e-05
2.15          	-3.341505e-05
2.2           	-3.341505e-05
2.25          	-3.341505e-05
2.3           	-3.341505e-05
2.35          	-3.341505e-05
2.4           	-3.341505e-05
2.45          	-3.341505e-05
2.5           	-3.341505e-05
2.55          	-3.341505e-05
2.6           	-3.341505e-05
2.65          	-3.341505e-05
2.7           	-3.341505e-05
2.75          	-3.341505e-05
2.8           	-3.341505e-05
2.85          	-3.341505e-05
2.9           	-3.341505e-05
2.95          	-3.341505e-05
3             	-3.341505e-05
3.05          	-3.341505e-05
3.1           	-3.341505e-05
3.15          	-3.341505e-05
3.2           	-3.341505e-05
3.25          	-3.341505e-05
3.3           	-3.341505e-05
3.35          	-3.341505e-05
3.4           	-3.341505e-05
3.45          	-3.341505e-05
3.5           	-3.341505e-05
3.55          	-3.341505e-05
3.6           	-3.341505e-05
3.65          	-3.341505e-05
3.7           	-3.341505e-05
3.75          	-3.341505e-05
3.8           	-3.341505e-05
3.85          	-3.341505e-05
3.9           	-3.341505e-05
3.95          	-3.341505e-05
4             	-3.341505e-05
4.05          	-3.341505e-05
4.1           	-3.341505e-05
4.15          	-3.341505e-05
4.2           	-3.341505e-05
4.25          	-3.341505e-05
4.3           	-3.341505e-05
4.35          	-3.341505e-05
4.4           	-3.341505e-05
4.45          	-3.341505e-05
4.5           	-3.341505e-05
4.55          	-3.341505e-05
4.6           	-3.341505e-05
4.65          	-3.341505e-05
4.7           	-3.341505e-05
4.75          	-3.341505e-05
4.8           	-3.341505e-05
4.85          	-3.341505e-05
4.9           	-3.341505e-05
4.95          	-3.341505e-05
5             	-3.341505e-05
5.05          	-3.341505e-05
5.1           	-3.341505e-05
5.15          	-3.341505e-05
5.2           	-3.341505e-05
5.25          	-3.341505e-05
5.3           	-3.341505e-05
5.35          	-3.341505e-05
5.4           	-3.341505e-05
5.45          	-3.341505e-05
5.5           	-3.341505e-05
5.55          	-3.341505e-05
5.6           	-3.341505e-05
5.65          	-3.341505e-05
5.7           	-3.341505e-05
5.75          	-3.341505e-05
5.8           	-3.341505e-05
5.85          	-3.341505e-05
5.9           	-3.341505e-05
5.95          	-3.341505e-05
6             	-3.341505e-05
6.05          	-3.341505e-05
6.1           	-3.341505e-05
6.15          	-3.341505e-05
6.2           	-3.341505e-05
6.25          	-3.341505e-05
6.3           	-3.341505e-05
6.35          	-3.341505e-05
6.4           	-3.341505e-05
6.45          	-3.341505e-05
6.5           	-3.341505e-05
6.55          	-3.341505e-05
6.6           	-3.341505e-05
6.65          	-3.341505e-05
6.7           	-3.341505e-05
6.75          	-3.341505e-05
6.8           	-3.341505e-05
6.85          	-3.341505e-05
6.9           	-3.341505e-05
6.95          	-3.341505e-05
7             	-3.341505e-05
7.05          	-3.341505e-05
7.1           	-3.341505e-05
7.15          	-3.341505e-05
7.2           	-3.341505e-05
7.25          	-3.341505e-05
7.3           	-3.341505e-05
7.35          	-3.341505e-05
7.4           	-3.341505e-05
7.45          	-3.341505e-05
7.5           	-3.341505e-05
